Title,Price,Registration Date,Mileage,Fuel Type,Transmission,Engine Size,Doors,Colour,Body Type,URL,Sale Date
VW golf gti mk3 8v,840.00,1996,97220,Petrol,Manual,2,5,Black,Hatchback,https://www.ebay.co.uk/itm/133887380773?hash=item1f2c4f4d25:g:ITEAAOSwEbthT2Gn, 2 Oct 2021
Volkswagen Golf MK4 12 months MOT ,821.00,2003,120500,Petrol,Manual,1.4,3,Black,Hatchback,https://www.ebay.co.uk/itm/115015292605?hash=item1ac77216bd:g:K84AAOSwK3dhUtNt, 3 Oct 2021
volkswagen golf,"1,395.00",1991,88000,Petrol,Automatic,1.6,4,Red,Saloon,https://www.ebay.co.uk/itm/185075142626?hash=item2b17568fe2:g:5OcAAOSwFEthUcLO, 3 Oct 2021
Volkswagen VW Golf 1.9 TDI 2008 ,870.00,2008,78382,Diesel,Manual,1.9,5,Black,Hatchback,https://www.ebay.co.uk/itm/304161388630?hash=item46d16e7856:g:ua8AAOSwjxBhUEzb, 3 Oct 2021
VW Golf GTI Convertible - Mk1,"6,700.00",1991,114000,Petrol,Manual,1.8,2,Silver Blue metallic,Convertible,https://www.ebay.co.uk/itm/224624218929?hash=item344ca59331:g:unAAAOSwij5hNRy5, 3 Oct 2021
voltswagon golf GTdi mk4,740.00,2003,189000,Diesel,Manual,1.9,3,Grey,Hatchback,https://www.ebay.co.uk/itm/185073193030?hash=item2b1738d046:g:NsgAAOSwnylhUFh9, 3 Oct 2021
1999 Volkswagen Golf GTi 1.8 turbo AUM engine V20  British racing green 3 door ,670.00,1999,178000,Petrol,Manual,1.8,3,Green,Hatchback,https://www.ebay.co.uk/itm/115012645501?hash=item1ac749b27d:g:7y4AAOSwSEdhL~1m, 3 Oct 2021
VOLKSWAGEN VW GOLF GTI 1.8T MK4   **LOW MILEAGE + 12 MONTHS MOT**,"1,332.00",2000,111300,Petrol,Manual,1.8,5,Green,Hatchback,https://www.ebay.co.uk/itm/115014098335?hash=item1ac75fdd9f:g:JIsAAOSw-~hhUeTL, 4 Oct 2021
VW golf 1.4 Match petrol,800.00,2004,100000,Petrol,Manual,1.4,5,Blue,Hatchback,https://www.ebay.co.uk/itm/274964115966?hash=item40052371fe:g:1NkAAOSwJGRhQIcO, 4 Oct 2021
2010 Volkswagen Golf 1.6 TDI Match DSG 5dr Hatchback Diesel Automatic,"2,600.00",2010,125176,Diesel,Automatic,1.6,5,Red,Hatchback,https://www.ebay.co.uk/itm/165096459031?hash=item2670840b17:g:lyUAAOSwmCBhOyCq, 5 Oct 2021
